iter	Passed	Remaining
0	61	18338
1	67	1009722	72	722033	77	574344	82	488255	86	42616	92	3858
7	97	3555
8	102	3318
9	107	3129
10	110	2908
11	114	2739
12	118	2625
13	124	2541
14	128	2440
15	132	2357
16	136	2269
117	142	2227118	146	2162119	151	2115220	156	2075221	161	2039222	167	2021223	172	1980224	177	1957225	182	1918226	185	1873227	188	1833228	191	1788229	195	175630	198	1722
31	202	1697
32	207	1680
33	211	1655
34	215	1632
35	219	1611
36	223	1588
37	226	1562
38	229	1538
39	234	1523
40	237	1497
41	240	1478
42	244	1462
43	248	1446
444	254	1443445	259	1433446	263	1417447	267	1405448	271	1388
49	275	1375
50	279	1363551	283	1350552	286	133453	288	1316
54	293	1309
555	300	1308556	303	129357	305	1276
558	311	1272559	314	1259660	320	1254661	323	1241662	326	1228663	330	1218664	333	120565	343	1219
66	348	1213
67	364	1244
68	380	1272
69	396	1304
70	407	1314
71	414	1313
72	430	1339
73	439	1343
74	447	1341
75	453	1335
76	457	1325
77	483	1374
78	494	1382
79	498	1370
80	502	1358
81	509	1353
82	514	1343
83	516	1329
84	521	1319
85	526	1310
86	530	1297
87	533	1284
88	537	1275
89	541	1263
90	545	1253
91	549	1243
92	554	1234
93	559	1225
94	563	1215
95	567	1205
96	571	1196
97	575	1186
98	579	1176
99	582	1165
100	586	1155
101	590	1146
102	594	1137
103	597	1126
104	601	1117
105	605	1108
106	610	1101
107	614	1092
108	619	1085
109	624	1078
110	627	1069
111	632	1061
112	637	1054
113	640	1045
114	645	1038
115	649	1030
116	652	1020
117	656	1012
118	660	1005
119	664	996
120	668	988
121	672	980
122	677	975
123	681	967
124	686	960
125	690	953
126	694	946
127	698	938
128	702	931
129	706	923
130	710	917
131	715	910
132	720	904
133	724	897
134	728	890
135	732	883
136	736	875
137	740	868
138	744	861
139	747	854
140	751	847
141	755	840
142	758	832
143	761	824
144	765	818
145	769	811
146	773	805
147	776	797
148	781	791
149	783	783
150	788	777
151	792	771
152	795	764
153	799	757
154	802	751
155	806	744
156	810	738
157	814	731
158	818	725
159	822	719
160	826	713
161	829	706
162	833	700
163	836	693
164	840	687
165	843	680
166	847	675
167	852	669
168	890	690
169	895	684
170	901	679
171	909	6717172	914	6717173	917	6617174	920	6517175	924	6517176	928	6417177	932	639
178	937	633
179	941	627
180	943	620
181	948	6118182	951	6018183	955	602
184	958	5918185	961	5818186	965	5818187	970	5718188	974	5718189	979	567
190	981	560
191	984	5519192	988	5419193	994	543
194	996	5319195	999	5301196	1002	5241197	1007	5181198	1010	5121199	1013	5062200	1019	5022201	1024	496
202	1028	491
203	1032	4852204	1036	480
205	1040	474
206	1042	4682207	1045	4622208	104209	12209	105210	12210	105211	12211	105212	12212	106213	12213	106214	12214	107215	12215	107216	12216	108217	10217	108218	10218	108219	10219	109220	1091	390
221	1095	384
222	1097	378
223	11223	110224	11224	110225	1109	363
226	1113	358
227	1117	352
228	1121	347
229	1126	342
230	1131	337
231	1134	332
232	1136	326
233	1141	321
234	1144	316
235	11235	115236	11236	115237	1155	300
238	1160	296
239	1163	290
240	1167	285
241	1172	281
242	1177	276
243	1180	271
244	11244	118245	1190	261
246	1195	256
247	1199	251
248	1202	246
249	1205	241
250	1210	236
251	1214	231
252	1216	225
253	1221	221
254	12254	122255	12255	123256	12256	123257	1236	201
258	1242	196
259	1247	191
260	1252	187
261	1257	182
262	1262	177
263	1266	172
264	1270	167
265	1274	162
266	1278	158
267	1283	153
268	1286	148
269	1289	143
270	1293	138
271	1296	133
272	1299	128
273	1302	123
274	1307	118
275	1310	113
276	1314	109
277	1320	104
278	1324	99
279	1327	94
280	1332	90
281	1335	85
282	1339	80
283	1341	75
284	1345	70
285	1349	66
286	1352	61
287	1357	56
288	1362	51
289	1366	47
290	1370	42
291	1374	37
292	1379	32
293	1383	28
294	1386	23
295	1390	18
296	1393	14
297	1398	9
298	1401	4
299	1406	0
391	0
